contentID SMALLINT	content VARCHAR(139)	song VARCHAR(50)	album VARCHAR(40)	year YEAR
0001	This is a story about a dog. The dog, like most dogs, was a puppy at one time. This was a cute puppy.	Rosemary Cake	Buttsteak Sandwich	2009
0002	The puppy had a master, a human, as you could call it, I suppose. The human was kind of unattractive.	Rosemary Cake	Buttsteak Sandwich	2009
0003	The dog was cute. The dog was the master of the person. So what's up with that, right?	Rosemary Cake	Buttsteak Sandwich	2009
0004	The dog had to do something. Something had to be done. So what did it do? What did it do? I'll tell you what it did.	Rosemary Cake	Buttsteak Sandwich	2009
0005	It climbed up on the kitchen counter. On top of the kitchen counter on top of the shelves, where all the spices were.	Rosemary Cake	Buttsteak Sandwich	2009
0006	And got some rosemary. And it baked itself a cake. With just rosemary. When the human came home, it wanted the cake.	Rosemary Cake	Buttsteak Sandwich	2009
0007	It turns out that rosemary is deadly to humans. It died. The person died.	Rosemary Cake	Buttsteak Sandwich	2009
0008	The dog won the war. The end. Fade out. A little bit more. Now we're done.	Rosemary Cake	Buttsteak Sandwich	2009
0009	Sitting in the garage, looking under the hood. Gonna put in some oil.	Rockstar Retreat	Buttsteak Sandwich	2009
0010	He didn't have any hair. He did have some boots. And a red flame guitar. And he was a total badass.	Rockstar Retreat	Buttsteak Sandwich	2009
0011	It's a rockstar retreat, and there's a Lincoln Zephyr in the garage, and Mike Cameron, holy shit.	Rockstar Retreat	Buttsteak Sandwich	2009
0012	Sitting here in jail, cause I killed a blue whale. Now I don't know what to do. People who ride choppers suck ass.	Rockstar Retreat	Buttsteak Sandwich	2009
0013	Kelly Clarkson can roll. She can rock a little too. Damn she's fine. Seriously, choppers suck ass.	Rockstar Retreat	Buttsteak Sandwich	2009
0014	Kitty's put his spaceboots on again. Looks like he'll be going as far as he can.	The Adventures of Captain Spacepussy	Buttsteak Sandwich	2009
0015	He'll leave the world and all his dreams behind to become another cat in space.	The Adventures of Captain Spacepussy	Buttsteak Sandwich	2009
0016	A cat in space is like a rhino in a zoo, except there are no fences out in space.	The Adventures of Captain Spacepussy	Buttsteak Sandwich	2009
0017	Imagine you're a man who's set on fire. Out in space you would not be on fire.	The Adventures of Captain Spacepussy	Buttsteak Sandwich	2009
0018	I won't lie to you. You're kinda cute, thats all. We should hook up later on.	The Adventures of Captain Spacepussy	Buttsteak Sandwich	2009
0019	Don't lie to me. My cat is out in space, and I love you.	The Adventures of Captain Spacepussy	Buttsteak Sandwich	2009
0020	A rocket goes and gets the captain back. Turns out he is wanted for some shit.	The Adventures of Captain Spacepussy	Buttsteak Sandwich	2009
0021	He baked his master a happy birthday cake. He only used rosemary to bake the cake.	The Adventures of Captain Spacepussy	Buttsteak Sandwich	2009
0022	A little hillside village is where it all began. A man left home searching for an answer to his life long plan.	Red Asphalt	Buttsteak Sandwich	2009
0023	He had a woman on his mind who made his pants explode. He wanted her, she laughed at him. He knew where he must go.	Red Asphalt	Buttsteak Sandwich	2009
0024	Wicked Doc Voodoo took him in, took him in. He put him in a Bomback. Shot shit out his back.	Red Asphalt	Buttsteak Sandwich	2009
0025	Turns out Doc Voodoo was a slimy little whore. His pink limousine will burn forever more.	Red Asphalt	Buttsteak Sandwich	2009
0026	White dwarf coming for your ass. More armor will not stop your death.	Red Asphalt	Buttsteak Sandwich	2009
0027	The asphalt stained with your fallen blood. Red asphalt, cheaters never win.	Red Asphalt	Buttsteak Sandwich	2009
0028	Bone Daddy, Bone Daddy, I'm a human being. Get your fucking ass fire off of my car.	Red Asphalt	Buttsteak Sandwich	2009
0029	Long Face Lou, how do you do? I'll tell you how I do, I kill you.	Red Asphalt	Buttsteak Sandwich	2009
0030	Billy Mays sold me on everything. He sold me everything that I'd ever need.	Sold Out	Buttsteak Sandwich	2009
0031	He sold me a pinball machine, and some Oxyclean. He sold me socks and boots, and some high class booze.	Sold Out	Buttsteak Sandwich	2009
0032	When you need something call on Billy Mays. He'll hook you up so fat with a cheshire cat.	Sold Out	Buttsteak Sandwich	2009
0033	He's a motherfucking badass with his blue tattoos. He'll sell you rubber gloves and a meatball sub.	Sold Out	Buttsteak Sandwich	2009
